OBJECTID,UNIT_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS,BSKTB,BASEB,SOCCR,MPFLD,FITZN,SK8PK,PCNIC,PLGND,POOLS,SPPAD,DGPRK,GYM,COMCT,SNRCT,RSTRM,TOTAL_GOOD,TOTAL_FAIR,TOTAL_POOR,TYPE,LMS_ID,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,HOURS,PHONES,IS_COUNTY
3,62,Atlantic Avenue Park,Atlantic Avenue Park,Open Access,1.96,1.95961029,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Pocket,Park < 5 Acres,Yes,Yes,Yes,Fair,Good,None,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,1,5,2,0,Local Park,3000015,34.02530363,-118.15520092,570 S. Atlantic Blvd.,Los Angeles,90022,Operating Hours<br> Monday – Sunday<br> 6:30am to 9:00pm<br> <p> Staff and Programming Hours<br> Monday - Thursday<br> 10:30 am to 9:00 pm<br> Friday <br> 10:30 am to 7:00 pm<br> Saturday<br> 8:30 am to 5:00 pm<br> No Staff on Sundays<br><p>Restroom Hours<br>Monday - Sunday<br>7:00am to 8:30pm<br><p> Splash Pads<br> May 1st to September 30th<br> 7 days a week<br>  11:00a.m. to 7:00p.m.<br><p>,"General/Aquatics: (323) 260-2341; Reservations: (888) 239-6700",Yes
43,948,George Lane Park,George Lane Park,Open Access,13.667,13.66453327,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,None,0,0,2,1,0,1,0,1,0,1,1,0,0,1,1,0,2,4,4,3,Local Park,3000087,34.65148079,-118.22852175,5520 W. Ave. L-8,Lancaster,93536,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
June 18th to Aug 20th, 2022<br>
Tues, Thurs, Sat<br>
11:00 AM to 7:00 PM<br>
<p>
Parks After Dark<br>
June 16th to Aug 6th, 2022<br>
Extended Seasonal Pool Hours<br>
Thurs, Fri, Sat<br>
6:00 PM to 7:30 PM<br>","General: (661) 722-7780; Reservations: (800) 267-2757; Aquatics: (661) 722-4301",Yes
49,1063,Gloria Heer Park,Gloria Heer Park,Open Access,10.36,10.35980786,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Poor,Not Reported,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,4,2,Local Park,3000068,33.97894757,-117.91297268,18109 E. Gallineta St.,Rowland Heights,91748,"March 1st to October 31st<br>
Operating Hours<br>
Monday - Sunday<br>
6:30am to 8:00pm<br>
<p>
November 1st to February 28th<br>
Operating Hours<br>
Monday – Sunday<br>
6:30am to 6:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 5:30pm","General: (626) 333-1369; Reservations: (888) 239-6700",Yes
61,1282,Adventure Park,Adventure Park,Open Access,14.597,14.59814981,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,Fair,0.3,0,3,2,0,0,1,0,7,1,0,1,0,1,1,0,4,2,7,2,Local Park,3000005,33.94262184,-118.03519255,10130 S. Gunn Ave.,Whittier,90605,Operating Hours<br> Monday – Sunday<br> 6:30am to 9:00pm<br> <p> Staff and Programming Hours<br> Monday - Thursday<br> 10:30 am to 9:00 pm<br> Friday <br> 10:30 am to 7:00 pm<br> Saturday<br> 8:30 am to 5:00 pm<br> No Staff on Sundays<br><p>Restroom Hours<br>Monday - Sunday<br>7:00am to 8:30pm<br><p> Splash Pads<br> May 1st to September 30th<br> 7 days a week<br>  11:00a.m. to 7:00p.m.<br><p>Senior Nutrition Hours<br> Monday – Friday<br> 8:00 am to 2:00 pm<br> Drop-in: 2:00 pm to 4:00 pm<br><p>,"General: (562) 698-7645; Reservations: (800) 404-5888",Yes
93,2142,Bassett Park,Bassett Park,Open Access,9.787,9.78742008,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,None,0,0,0,0,2,0,1,1,2,3,0,1,0,1,2,0,2,2,10,3,Local Park,3000017,34.05153881,-117.98682284,510 N. Vineland Ave. ,La Puente,91746,Operating Hours<br> Monday – Sunday<br> 6:30am to 9:00pm<br> <p> Staff and Programming Hours<br> Monday - Thursday<br> 10:30 am to 9:00 pm<br> Friday <br> 10:30 am to 7:00 pm<br> Saturday<br> 8:30 am to 5:00 pm<br> No Staff on Sundays<br><p>Restroom Hours<br>Monday - Sunday<br>7:00am to 8:30pm<br><p> Splash Pads<br> May 1st to September 30th<br> 7 days a week<br>  11:00a.m. to 7:00p.m.<br><p>Senior Nutrition Hours<br> Monday – Friday<br> 8:00 am to 2:00 pm<br> Drop-in: 2:00 pm to 4:00 pm<br><p>,"General: (626) 333-0959; Reservations: (888) 239-6700",Yes
97,2385,Jackrabbit Flats Wildlife Sanctuary,Jackrabbit Flats Wildlife Sanctuary,Open Access,114.458,114.4424507,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Sanctuary,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000073,34.54091959,-117.91617882,,Littlerock,93543,<Null>,General: (661) 944-6881,Yes
107,2606,Cima Mesa Park,Cima Mesa Park,Open Access,9.919,9.91790783,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Undeveloped,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,,34.46389922,-117.96002145,Cima Mesa Rd,Littlerock,93543,,,No
151,3710,Las Tunas County Beach,Las Tunas County Beach,Open Access,3.184,2.9864228,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,59073,34.03920508,-118.59857177,19444 Pacific Coast Hwy,,,,,No
188,4789,Los Robles Park,Los Robles County Park,Open Access,5.001,5.00078506,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,Not Reported,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,2,3,0,Local Park,3000095,34.0095735,-117.98595359,14906 E. Los Robles Ave.,Hacienda Heights,91745,Operating Hours<br> Monday – Sunday<br> 6:30am to 9:00pm<br> <p> Staff and Programming Hours<br> Monday - Thursday<br> 10:30 am to 9:00 pm<br> Friday <br> 10:30 am to 7:00 pm<br> Saturday<br> 8:30 am to 5:00 pm<br> No Staff on Sundays<br><p>Restroom Hours<br>Monday - Sunday<br>7:00am to 8:30pm<br><p> Splash Pads<br> May 1st to September 30th<br> 7 days a week<br>  11:00a.m. to 7:00p.m.<br><p>,General: (626) 333-1369,Yes
206,5089,Manzanita Park,Manzanita Park,Open Access,12.116,12.11625706,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,Not Reported,0,0,2,2,0,1,0,0,3,2,0,0,0,0,1,0,1,3,8,1,Local Park,3000098,34.00305608,-117.97428762,1747 S. Kwis Ave.,Hacienda Heights,91745,"Operating Hours<br>
Monday – Sunday<br>
6:30am to 9:00pm<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sunday<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm","General: (626) 333-6246; Reservations: (888) 239-6700",Yes
